datadate,account_value
20220405,2285128.335571079
20220406,2204440.486116131
20220407,2209968.9604925653
20220408,2188967.748558941
20220411,2156020.547576351
20220412,2168890.4852543105
20220413,2210806.107389664
20220414,2177485.6225763476
20220418,2175790.8172426643
20220419,2213134.8761671865
20220420,2210555.9725789297
20220421,2191247.559937103
20220422,2137554.4828513945
20220425,2149218.5475567626
20220426,2081051.307899021
20220427,2053643.392702732
20220428,2119530.9900139044
20220429,2053517.4649890328
20220502,2047208.1732739639
20220503,2062784.904190483
20220504,2133208.7607030906
20220505,2052756.9276838189
20220506,2056220.6171626626
20220509,1988753.1135536614
20220510,2000638.1178508033
20220511,1952517.7501508521
20220512,1922417.5174648894
20220513,1963383.3172666207
20220516,1956870.833278797
20220517,1988171.8618693505
20220518,1897841.986148224
20220519,1868882.70141811
20220520,1882185.5667972069
20220523,1936207.9285522576
20220524,1930891.3474406472
20220525,1937027.5113314858
20220526,1965267.3029841653
20220527,2014075.8861254922
20220531,1999458.785962986
20220601,1988060.3749026528
20220602,2007247.153554844
20220603,1967786.9968814126
20220606,1971269.7238558999
20220607,1994378.1512126199
20220608,1978483.526613163
20220609,1926623.2013949624
20220610,1874469.1293429604
20220613,1822975.8216914407
20220614,1821309.6389102212
20220615,1838629.7393740884
20220616,1784080.6367778054
20220617,1796207.967439579
20220621,1846334.986242222
20220622,1847910.0026149026
20220623,1868887.6214770547
20220624,1909454.622632908
20220627,1910498.326375889
20220628,1870084.1208705178
20220629,1884298.0858554116
20220630,1863469.347707676
20220701,1895491.7669047585
20220705,1903221.869306492
20220706,1908915.189100193
