datadate,account_value
20221005,1251145.7294264226
20221006,1232646.7981915479
20221007,1211701.6320130103
20221010,1210390.307021208
20221011,1200238.3921397994
20221012,1200433.0402008728
20221013,1242110.653702746
20221014,1218947.4194695496
20221017,1243337.9807129884
20221018,1260805.3668515552
20221019,1259659.9993389018
20221020,1255414.7190002599
20221021,1291450.617784758
20221024,1304518.4719048028
20221025,1319648.9092431797
20221026,1329452.5460580334
20221027,1331906.2576691671
20221028,1369418.5004840798
20221031,1365512.1991442551
20221101,1363975.743330086
20221102,1344995.724009274
20221103,1328571.3761247087
20221104,1347509.3928439564
20221107,1360954.6053352512
20221108,1370057.5177740713
20221109,1343265.2419215473
20221110,1397406.5109803623
20221111,1404682.802669827
20221114,1402014.3854224267
20221115,1405905.626365004
20221116,1404617.1177039684
20221117,1407157.883393845
20221118,1411211.0376088338
20221121,1409512.6723350645
20221122,1423463.8754438653
20221123,1427566.900154597
20221125,1428792.968711474
20221128,1407357.9970815473
20221129,1403143.3926720396
20221130,1433788.0478916632
20221201,1432002.5261555142
20221202,1428563.9990280117
20221205,1409184.7081764187
20221206,1386475.9883901335
20221207,1379995.3850235734
20221208,1387094.8102648873
20221209,1380427.301118832
20221212,1400723.0857646011
20221213,1408759.4179064545
20221214,1396954.4578346086
20221215,1361784.6242218309
20221216,1344523.4027837948
20221219,1336871.938683741
20221220,1340227.2447964349
20221221,1358340.166824883
20221222,1341164.2773656659
20221223,1346641.5774265751
20221227,1340441.152723496
20221228,1325280.8205698533
20221229,1339638.001927855
20221230,1337753.1542593827
20230103,1331197.3061486497
20230104,1333344.4196050821
