datadate,account_value
20210407,1999866.963131364
20210408,2005450.5539155896
20210409,2015035.4140292064
20210412,2007329.65512832
20210413,1997158.2119513026
20210414,2007287.643703065
20210415,2012596.5326925938
20210416,2018626.4861651966
20210419,2010100.559573995
20210420,1975898.3875751544
20210421,1998269.0042874883
20210422,1975197.5410268796
20210423,1994422.8875040372
20210426,2003195.6256630337
20210427,2008691.22953338
20210428,2001376.729112073
20210429,2012950.378419324
20210430,2000550.68826048
20210503,2013752.6617712223
20210504,2011018.9569791995
20210505,2014062.4808820926
20210506,2035331.7384199344
20210507,2057596.1569036685
20210510,2050443.207063123
20210511,2021175.2282270633
20210512,1984047.9522718631
20210513,2007883.1250738346
20210514,2028971.7352651798
20210517,2027447.60755293
20210518,2010003.275533124
20210519,1993168.1199468814
20210520,2006504.5545057498
20210521,2024814.1879553043
20210524,2040492.3988165103
20210525,2036641.9384359561
20210526,2038805.2608732425
20210527,2058677.9714864932
20210528,2054462.2940382205
20210601,2076284.6261305057
20210602,2080710.499539777
20210603,2079744.8260435306
20210604,2090285.1203130924
20210607,2087990.9403890811
20210608,2084338.2793058597
20210609,2072428.7439741336
20210610,2063583.3345464908
20210611,2066462.7007536136
20210614,2056447.705109998
20210615,2051590.0866216861
20210616,2037490.5332044803
20210617,2013316.7926878177
20210618,1978509.151643201
20210621,2018411.1464056217
20210622,2017093.8568624698
20210623,2020004.5964407169
20210624,2047282.934380933
20210625,2056979.2790044986
20210628,2038470.6607717716
20210629,2033070.347207471
20210630,2053604.0723737918
20210701,2056536.6751112186
20210702,2049168.3870557987
20210706,2032145.991071149
