datadate,account_value
20190405,1745998.1846682704
20190408,1752372.0446446536
20190409,1739181.1860790292
20190410,1742196.3350669215
20190411,1746822.395554127
20190412,1751203.210311909
20190415,1749231.0041724818
20190416,1761065.6615417064
20190417,1750996.3182207302
20190418,1755023.8073650897
20190422,1751147.0703446448
20190423,1757634.5764458182
20190424,1740966.219433596
20190425,1742565.8088215431
20190426,1746636.073920176
20190429,1746951.5011620964
20190430,1754713.4154333365
20190501,1738531.8996945403
20190502,1720907.7749622557
20190503,1734814.0915103361
20190506,1723958.3144715026
20190507,1690650.871508856
20190508,1691083.9251969054
20190509,1692484.682963629
20190510,1700069.6784622862
20190513,1650119.3545410826
20190514,1672322.685900946
20190515,1682775.7726013854
20190516,1701870.521861334
20190517,1692849.1024887755
20190520,1687069.5969574645
20190521,1704718.2549164488
20190522,1691379.9320481017
20190523,1664401.9660217955
20190524,1673750.867465277
20190528,1664388.7620651915
20190529,1645704.548892279
20190530,1644721.6852371886
20190531,1615600.095828314
20190603,1621575.186152716
20190604,1654623.224520941
20190605,1669169.3251221373
20190606,1684447.4264786437
20190607,1699979.0299866393
20190610,1704101.5699417784
20190611,1698395.4968292906
20190612,1690545.977381964
20190613,1696595.8216202452
20190614,1691859.9385636046
20190617,1700576.8859970763
20190618,1737242.7040741637
20190619,1733484.5632355406
20190620,1762805.170954962
20190621,1762710.7036240294
20190624,1763979.5712845519
20190625,1744570.746508856
20190626,1752986.3138306334
20190627,1740876.6900055602
20190628,1748104.6648285582
20190701,1748138.9650910094
20190702,1742388.8863327696
20190703,1752084.9281799986
20190705,1753320.4121048644
