datadate,account_value
20230105,2414568.026564821
20230106,2447492.427216467
20230109,2447128.713001013
20230110,2459165.953710821
20230111,2488199.1700499095
20230112,2512181.4602675377
20230113,2532614.301292364
20230117,2445064.5627572
20230118,2413987.41049848
20230119,2409469.935305883
20230120,2388091.2350769634
20230123,2425486.426500578
20230124,2427602.467527395
20230125,2435255.4472551555
20230126,2464605.674615877
20230127,2454563.7150469
20230130,2460363.4269495183
20230131,2505005.9028769243
20230201,2506694.9130749414
20230202,2511698.561374395
20230203,2507473.7461856785
20230206,2503760.5423797094
20230207,2526582.9292004416
20230208,2516572.73370302
20230209,2484798.575252321
20230210,2511276.6749928114
20230213,2533770.4246788924
20230214,2520418.452731512
20230215,2535839.9342369824
20230216,2516896.907783209
20230217,2500804.5315959835
20230221,2455166.810647879
20230222,2446166.549078127
20230223,2459771.9677484874
20230224,2452666.1817915933
20230227,2460902.4461586303
20230228,2401487.097842308
20230301,2390229.916007637
20230302,2408777.03079126
20230303,2452740.741896347
20230306,2455535.255804951
20230307,2399082.126842312
20230308,2408312.4445038415
20230309,2367891.1962972716
20230310,2301845.513458544
20230313,2246411.9741549627
20230314,2283308.723813593
20230315,2221644.329655451
20230316,2242208.1350004636
20230317,2189511.707610922
20230320,2229445.774587797
20230321,2289141.7175181867
20230322,2244162.2061866666
20230323,2249215.403660383
20230324,2242741.065911482
20230327,2269332.672582205
20230328,2273892.206790823
20230329,2300987.4507852
20230330,2305185.037574957
20230331,2340427.699414549
20230403,2363083.324988661
20230404,2347107.3844559765
20230405,2343968.3842690564
