datadate,reward
20180104,0.0011061894639534037
20180105,0.0119304900460803
20180108,0.0038565532808210986
20180109,0.0033318499886624904
20180110,-0.0005865227331906947
20180111,0.011845867421406062
20180112,0.013045612662622066
20180116,-0.0018834931515488247
20180117,0.016599741850854288
20180118,-0.0038539246362443882
20180119,0.0013475215901580088
20180122,0.0050178462894224455
20180123,-0.0012156106471766554
20180124,-0.00024727193002687807
20180125,0.007084734456792971
20180126,0.017262522517065802
20180129,-0.0036128846441930733
20180130,-0.01523717292587066
20180131,0.0007568322971682629
20180201,-0.00047450390688459285
20180202,-0.022979912586800752
20180205,-0.04983313942068224
20180206,0.013057216304493429
20180207,0.0006549367133252037
20180208,-0.04334057032112882
20180209,0.008987027247726074
20180212,0.02164989704807172
20180213,0.007191277013477713
20180214,0.0119656261128938
20180215,0.01669410594172192
20180216,0.003316538669461153
20180220,-0.006094164604502997
20180221,-0.00808769449394672
20180222,0.006273366095972957
20180223,0.016950107411860635
20180226,0.021966676276203276
20180227,-0.008886894962322568
20180228,-0.01969961265379991
20180301,-0.021853609175361065
20180302,-0.00776529756060852
20180305,0.011635882366046624
20180306,0.0056741640535163725
20180307,-0.0016284712877354017
20180308,0.004762179606497268
20180309,0.020683730770157144
20180312,-0.004163089313499262
20180313,-0.008041846989131787
20180314,-0.009651461760101811
20180315,-0.0006940713889256457
20180316,0.003938361074464082
20180319,-0.014555833559546755
20180320,0.0018073662862166076
20180321,0.0006156354247246342
20180322,-0.02915290473771911
20180323,-0.025808460308740087
20180326,0.025715282556160284
20180327,-0.010181467726968998
20180328,-0.006783261874595615
20180329,0.011084692884307377
20180402,-0.020456639715271216
20180403,0.012152752142831649
20180404,0.011958905164441768
