datadate,account_value
20230406,2301992.3493101974
20230410,2302967.4567511915
20230411,2310968.7113905577
20230412,2313383.5107949004
20230413,2333189.8304307647
20230414,2340924.400279237
20230417,2346259.107234151
20230418,2339232.952701387
20230419,2339665.452640138
20230420,2332627.863631643
20230421,2352551.728234773
20230424,2362290.4613197837
20230425,2337384.5665888875
20230426,2315133.1610088055
20230427,2340554.3994728257
20230428,2361112.451039079
20230501,2349317.607677068
20230502,2317315.5885931104
20230503,2302613.370244512
20230504,2271964.779284017
20230505,2315050.906662267
20230508,2311180.708334066
20230509,2298163.054921373
20230510,2294612.952423311
20230511,2283070.221185075
20230512,2283155.836161407
20230515,2288491.390227321
20230516,2266270.6427866663
20230517,2295948.349315513
20230518,2312856.663546066
20230519,2313292.4953559716
20230522,2308880.2278528437
20230523,2291638.6062477566
20230524,2271743.5833049617
20230525,2270677.729285003
20230526,2299578.2916298364
20230530,2300874.6556369853
20230531,2281710.9985292125
20230601,2312132.765135498
20230602,2395212.592293991
20230605,2372631.043025024
20230606,2388845.294157814
20230607,2413493.383109201
20230608,2423114.9550381866
20230609,2422826.5495644775
20230612,2450077.2146779266
20230613,2474833.0086518493
20230614,2470056.0545388428
20230615,2498874.439607736
20230616,2486357.33976185
20230620,2467920.200407144
20230621,2459121.010067102
20230622,2463541.70011532
20230623,2452289.757217523
20230626,2452172.8528634277
20230627,2478547.1567498413
20230628,2483808.1574994293
20230629,2501075.577955362
20230630,2534149.9273644653
20230703,2530505.5308762756
20230705,2515080.220052835
20230706,2487145.658773538
20230707,2489944.06550419
