datadate,account_value
20160705,1021870.2587779993
20160706,1023479.2508403315
20160707,1019409.1590597605
20160708,1031681.7811426081
20160711,1034089.0450197024
20160712,1040359.1307317804
20160713,1042448.1060858588
20160714,1047688.9253910994
20160715,1048791.518327558
20160718,1047804.5385454192
20160719,1050984.5287196327
20160720,1052296.956358051
20160721,1047815.5159320597
20160722,1049418.816215053
20160725,1043273.9625574279
20160726,1045239.7250401797
20160727,1047030.9870755648
20160728,1041139.0573102183
20160729,1044682.1882641406
20160801,1039956.3371859126
20160802,1034020.5852587066
20160803,1034096.8263281722
20160804,1031638.517740127
20160805,1039348.2743097129
20160808,1039441.2854975486
20160809,1039111.1681584487
20160810,1039053.7716889911
20160811,1046967.422343288
20160812,1045146.6848433528
20160815,1049769.4233188261
20160816,1045665.2161077113
20160817,1050854.097851236
20160818,1053447.7632238728
20160819,1050334.1638199536
20160822,1048921.151254743
20160823,1049055.2925855117
20160824,1045303.966599317
20160825,1043061.5397582946
20160826,1039590.0148961025
20160829,1046308.8830963855
20160830,1039827.7933938556
20160831,1032243.071656177
20160901,1032373.1094858471
20160902,1038687.1073684535
20160906,1045181.052734571
20160907,1045996.835353887
20160908,1050119.8603529716
20160909,1023850.2647534156
20160912,1034787.8559578223
20160913,1017476.5376219879
20160914,1013414.8197453875
20160915,1020601.9548001667
20160916,1012501.8426426578
20160919,1015433.595657022
20160920,1015791.3230685592
20160921,1031800.7309655013
20160922,1035525.5868277755
20160923,1028646.3512863403
20160926,1021345.6220564571
20160927,1026194.2082124935
20160928,1041728.6683619876
20160929,1031225.9811431422
20160930,1041331.4280808636
