datadate,account_value
20240409,2951237.531481532
20240410,2929235.1757708634
20240411,2942547.2423500335
20240412,2914551.3118066564
20240415,2889552.0183774843
20240416,2887014.538570458
20240417,2875265.1332214936
20240418,2865798.5274415826
20240419,2863906.712362435
20240422,2880023.916077363
20240423,2902562.09110888
20240424,2908260.584394822
20240425,2880119.7666192674
20240426,2885976.1480457275
20240429,2879130.7883372526
20240430,2828831.371153767
20240501,2835675.6206836672
20240502,2849796.515748725
20240503,2868252.2350969017
20240506,2897734.7557661925
20240507,2899225.824412265
20240508,2906329.9430986033
20240509,2924437.401099391
20240510,2935450.982944663
20240513,2933578.3701424855
20240514,2938118.4117503576
20240515,2960072.372883483
20240516,2957751.3931525145
20240517,2963930.3541415203
20240520,2950633.0759699885
20240521,2949754.8638108624
20240522,2944113.6323495666
20240523,2909474.807212442
20240524,2921078.9772159327
20240528,2906828.993748211
20240529,2883818.4247093084
20240530,2882824.832687771
20240531,2915673.1643642043
20240603,2891626.6357089635
20240604,2898492.971843643
20240605,2905505.000404936
20240606,2914261.6035759933
20240607,2918222.089579462
20240610,2918342.98184992
20240611,2917331.172416892
20240612,2910563.5356703536
20240613,2909591.6817118195
20240614,2903538.308001746
20240617,2920973.543145543
20240618,2927420.751365384
20240620,2951166.8090750263
20240621,2959708.087054259
20240624,2973389.8166467743
20240625,2955391.5470205056
20240626,2945607.141927561
20240627,2935363.482746273
20240628,2882547.3409006004
20240701,2895406.665129557
20240702,2905985.723483618
20240703,2907933.8724551103
20240705,2916801.7643468
20240708,2908077.95147694
20240709,2888165.663889105
