datadate,reward
20160105,-579.7560573999071
20160106,-1102.7828085364308
20160107,-4119.305439292919
20160108,-2840.5525190389017
20160111,541.4062313304748
20160112,2322.9989975355566
20160113,-8163.182972847135
20160114,4551.154290774954
20160115,-10625.103934796993
20160119,-1190.1222894650418
20160120,-15326.171347311
20160121,4579.485306058894
20160122,9821.221505815513
20160125,-9146.788056434481
20160126,16247.498292604461
20160127,-17609.273244848242
20160128,5384.195907939924
20160129,23287.323249515495
20160201,-627.7651823597262
20160202,-18418.77557652665
20160203,13962.638652792084
20160204,6819.216826141346
20160205,-12078.10241205024
20160208,-12189.155829061521
20160209,-973.493304651347
20160210,-518.0641537933843
20160211,-3364.5838651466183
20160212,3871.563192201662
20160216,3344.72713920963
20160217,5847.420220947242
20160218,695.2861194974976
20160219,-520.479631183669
20160222,5988.011843421846
20160223,-6518.078183980659
20160224,1541.3434918937273
20160225,7280.651068132371
20160226,-2068.4113070564345
20160229,-6205.623252773308
20160301,18202.831060901633
20160302,1381.2998687438667
20160303,3454.3676892566727
20160304,1810.0837351856753
20160307,7569.190137744881
20160308,-5744.981244081515
20160309,6106.774041389464
20160310,-618.986250049551
20160311,13738.484458362567
20160314,1230.8894862823654
20160315,1238.7017391509144
20160316,4984.056952230516
20160317,9703.157537887571
20160318,7482.0906357954955
20160321,-350.5911858100444
20160322,-3215.968535243999
20160323,-6045.250366020133
20160324,1981.6596156044398
20160328,2933.32154791255
20160329,3668.0788487587124
20160330,4186.224291313207
20160331,-1559.1844908599742
20160401,7649.634896736126
20160404,-2488.567750266986
