datadate,reward
20200403,-1890.666660520481
20200406,7004.778294250602
20200407,617.2235020027729
20200408,7352.038107589469
20200409,1827.4366309242323
20200413,-2379.1402082291897
20200414,5392.2770877572475
20200415,-3337.9289838637924
20200416,-1108.9902426684275
20200417,10688.687665523496
20200420,-9123.600365959224
20200421,-6901.686275949352
20200422,4195.77725146641
20200423,1657.2869270172669
20200424,1449.9463152810931
20200427,6618.211042880779
20200428,999.702804359491
20200429,13757.450061607524
20200430,-8555.298296669149
20200501,-15941.503531669616
20200504,-28.068962307064794
20200505,3127.9425788726658
20200506,-8899.593274368206
20200507,7803.638302066829
20200508,11046.195551513578
20200511,-5634.92375849525
20200512,-12092.156089859083
20200513,-16889.969070781837
20200514,11028.986287054024
20200515,-412.27145990752615
20200518,25761.208948886953
20200519,-11170.261177589418
20200520,9157.600720684044
20200521,-1797.1910685463808
20200522,-175.83478546142578
20200526,17569.48879804602
20200527,16284.104306982132
20200528,-3556.9478232956026
20200529,2370.0076870366465
20200601,2723.8538287754636
20200602,8037.37753460696
20200603,19702.05214180774
20200604,2862.4208290386014
20200605,30119.59486441035
20200608,16191.576378715457
20200609,-14249.997684428934
20200610,-15226.967211090261
20200611,-68863.77896903246
20200612,18988.781348281773
20200615,4435.06114547723
20200616,16375.34114710614
20200617,-7735.893247594824
20200618,-2236.5996610030998
20200619,-3206.0449956511147
20200622,172.8223696439527
20200623,1928.2644358521793
20200624,-26914.380546073895
20200625,11526.944941219175
20200626,-30159.665728107328
20200629,25157.241020481102
20200630,4989.954639352858
20200701,-3127.991712737945
20200702,3838.368978168466
20200706,22423.593400077894
20200707,-23507.49514676677
20200708,4539.106908489484
20200709,-23606.862152084475
20200710,19184.63101436803
20200713,3572.5864055519924
20200714,22468.574057773687
20200715,11776.00672275154
20200716,-7104.227121799486
20200717,-4622.283825838007
20200720,-4856.484374042368
20200721,9200.499990224838
20200722,2893.3461600684095
20200723,-11490.639206859516
20200724,-14150.201867048396
20200727,-2819.252496002009
20200728,-912.2825881387107
20200729,3850.325511173345
20200730,-15501.067658195505
20200731,-9920.132623329177
20200803,9138.661949279718
20200804,6358.3521440811455
20200805,23826.720534908236
20200806,1339.2425545197912
20200807,2536.546489021275
20200810,21047.940458217636
20200811,-2118.780769538833
20200812,6756.307418127079
20200813,-5688.1274321042
20200814,5282.594247817993
20200817,-8481.865237464895
20200818,-6573.219975395128
20200819,-2414.7871891059913
20200820,1.6038479460403323
20200821,165.45228444295935
20200824,12333.736210613279
20200825,16.274344253586605
20200826,-4407.255502159009
20200827,7541.334732150892
20200828,10013.27231894317
20200831,-11070.16301958845
20200901,2041.2074038637802
20200902,21329.24266646197
20200903,-24260.46874637995
20200904,-4205.337964225793
20200908,-27241.36437792587
20200909,14033.123040077277
20200910,-17049.435409057653
20200911,4186.558305887273
20200914,14506.811484432314
20200915,-2351.740037586307
20200916,5181.200483682565
20200917,-4063.6620065383613
20200918,-5484.380713602062
20200921,-22218.199702056823
20200922,-1986.059070179006
20200923,-19303.04224398418
20200924,-54.55394169234205
20200925,17588.279866676312
20200928,13982.235944009852
20200929,-7503.476510513341
20200930,14650.367232326418
20201001,-2040.638006181689
20201002,-2131.6329321917146
20201005,16520.74318732065
20201006,-14873.035877918126
20201007,19299.616684448207
20201008,7490.01462875749
20201009,5489.128211048199
20201012,9822.993827834958
20201013,-2742.2786679801065
20201014,-12958.250027046306
20201015,2805.70067618764
20201016,7176.561750079971
20201019,-16864.03833395755
20201020,1751.3049053419381
20201021,-4830.603535781847
20201022,13420.325763660483
20201023,3247.6989028549287
20201026,-25326.943396232557
20201027,-13371.38379975129
20201028,-42551.3600446186
20201029,756.2732702484354
20201030,-1215.31190700538
20201102,17414.320442348486
20201103,20051.67760627193
20201104,36181.72955159168
20201105,12940.224741745042
20201106,-7345.793223186396
20201109,38921.47108309553
20201110,11140.765014904086
20201111,-5347.844502595952
20201112,-8183.785723487847
20201113,15933.861617599381
20201116,17773.124199337093
20201117,-10571.228008346632
20201118,-17081.69749142439
20201119,-4045.139428798808
20201120,-6609.966943588108
20201123,14215.97910794639
20201124,18972.950197028928
20201125,-9313.80719023128
20201127,1821.9091654319782
20201130,-10246.192822645186
20201201,11388.832128654467
20201202,15488.873157585273
20201203,1058.8667894552927
20201204,11565.45233520912
20201207,-7140.567598049296
20201208,3958.495591735933
20201209,-5254.028507987969
20201210,-3560.5963119887747
20201211,6695.197408058215
20201214,-14180.932846016018
20201215,11027.061169242952
20201216,-2670.62872441113
20201217,3768.1327382316813
20201218,-6662.785199802369
20201221,-2854.7000401038677
20201222,-7119.857824432431
20201223,6402.908384124748
20201224,4119.034866178641
20201228,6651.58168185805
20201229,-1180.3819636115804
20201230,-1366.0864416274708
20201231,9814.07165278634
20210104,-9732.162688959157
20210105,1092.4663821887225
20210106,27789.40138602839
20210107,12280.805156074464
20210108,684.9104708251543
20210111,3561.982071058359
20210112,1508.115988880163
20210113,-2342.0605830384884
20210114,-3137.9180502374656
20210115,-4126.817504141014
20210119,5563.26772257057
20210120,1651.6227047881112
20210121,-2817.511196208885
20210122,-12333.26390975574
20210125,-2447.0799844665453
20210126,-7178.048764339415
20210127,-28376.91956883995
20210128,14798.919227438048
20210129,-21876.557163370308
20210201,4134.092274990166
20210202,15935.207683738787
20210203,1182.0832490499597
20210204,1992.2502490195911
20210205,-391.4993542707525
20210208,7242.063885196578
20210209,998.8831512299366
20210210,4875.266984531423
20210211,-218.8055492134299
20210212,-2035.8815219574608
20210216,-2324.0991237831768
20210217,7003.358885444701
20210218,-2368.7929747696035
20210219,-3822.1917695312295
20210222,7533.844224670436
20210223,5210.0234610482585
20210224,20118.829862211132
20210225,-19614.31549327285
20210226,-17197.54112355993
20210301,20046.978337492095
20210302,-1250.7705837059766
20210303,3233.853732585907
20210304,-10878.194683862617
20210305,22532.60767825693
20210308,13183.07133341604
20210309,-538.5361742705572
20210310,21081.95428140252
20210311,6566.346117408713
20210312,19826.669918659143
20210315,2376.3764026223216
20210316,-10226.641844486352
20210317,7334.007671745494
20210318,-10197.394257406238
20210319,-9432.877102886327
20210322,-2956.1950583113357
20210323,-13638.269127315609
20210324,2449.4783480034675
20210325,14065.00121537014
20210326,14581.749075679807
20210329,6443.630113384221
20210330,-5596.866358501371
20210331,-3007.6916333963163
20210401,1369.8105396959
20210405,9931.65390970977
20210406,-8836.60671891016
