datadate,reward
20210819,-15473.989559173584
20210820,6726.682426452637
20210823,23199.875789642334
20210824,7088.387477874756
20210825,695.288646697998
20210826,-15626.60258102417
20210827,16609.50464630127
20210830,-6768.953296661377
20210831,-2609.782558441162
20210901,-2526.1326332092285
20210902,6508.229888916016
20210903,-6954.508766174316
20210907,-5583.603038787842
20210908,-5780.236663818359
20210909,-4263.624912261963
20210910,-16676.29666519165
20210913,10441.519412994385
20210914,-19791.861282348633
20210915,17509.984073638916
20210916,-6027.023811340332
20210917,-12919.404457092285
20210920,-30142.035888671875
20210921,-9527.63631439209
20210922,24297.86018371582
20210923,29667.315795898438
20210924,5441.027759552002
20210927,11187.589344024658
20210928,-17696.18257522583
20210929,7156.083034515381
20210930,-27965.49136352539
20211001,37142.24026489258
20211004,-11744.685935974121
20211005,5634.137722015381
20211006,85.78667068481445
20211007,18151.47486114502
20211008,-765.317684173584
20211011,-16594.24140548706
20211012,-13667.925941467285
20211013,-7289.411678314209
20211014,13444.136463165283
20211015,18276.756587982178
20211018,-7543.043453216553
20211019,16405.939777374268
20211020,6670.336898803711
20211021,-8649.024066925049
20211022,-978.0944519042969
20211025,7780.980537414551
20211026,-2857.0123405456543
20211027,-34190.20348358154
20211028,13823.800735473633
20211029,-1651.6546936035156
20211101,13031.471599578857
20211102,6808.26611328125
20211103,-1105.282859802246
20211104,-1383.6736793518066
20211105,21266.86784362793
20211108,11170.411560058594
20211109,-11979.386661529541
20211110,-7129.877014160156
20211111,-16009.736351013184
20211112,3117.2834281921387
20211115,7681.8383865356445
20211116,-7652.523044586182
20211117,-12312.259307861328
20211118,-5695.720085144043
20211119,-25076.84225845337
20211122,-1605.9267692565918
20211123,11237.227809906006
20211124,6025.433078765869
20211126,-49801.74376296997
20211129,-3927.847854614258
20211130,-17692.738666534424
20211201,-18697.060214996338
20211202,39056.99880218506
20211203,-9074.958850860596
20211206,33364.523471832275
20211207,21469.080738067627
20211208,10769.00863647461
20211209,-526.6101188659668
20211210,5178.3746910095215
20211213,-22299.942211151123
20211214,-2991.4800033569336
20211215,11898.36971282959
20211216,-2643.0277519226074
20211217,-18160.476791381836
20211220,-22015.268169403076
20211221,33856.96493148804
20211222,15100.019287109375
20211223,10737.557571411133
20211227,9654.179286956787
20211228,7294.004901885986
20211229,-1277.4617500305176
20211230,-3015.6876640319824
20211231,-3810.7795181274414
20220103,24696.892433166504
20220104,25952.613395690918
20220105,-6317.108783721924
20220106,4037.580410003662
20220107,12359.579689025879
20220110,-14747.69515991211
20220111,16151.687328338623
20220112,4601.195613861084
20220113,3078.917808532715
20220114,-5138.200595855713
20220118,-9799.797798156738
20220119,-27245.74723815918
20220120,-18634.576557159424
20220121,-39620.50612258911
