datadate,reward
20200403,-2396.320791593753
20200406,20607.263805999653
20200407,-20.6701004372444
20200408,14571.9984099922
20200409,10245.442987590912
20200413,-16675.284069198533
20200414,12136.919972738135
20200415,-24737.798537734896
20200416,-9570.644521854469
20200417,47183.89909000031
20200420,-27471.789350017672
20200421,-28135.039576589596
20200422,15472.932264249888
20200423,4438.005144502618
20200424,12185.443576004007
20200427,21393.728274284513
20200428,1805.8455823305994
20200429,30402.50805850234
20200430,-17002.552266277373
20200501,-31622.80734093103
20200504,-1761.8502218703507
20200505,1719.2138437404064
20200506,-12978.644869651762
20200507,11964.820794586092
20200508,22130.75134965335
20200511,-11435.054554134374
20200512,-20263.722658389946
20200513,-28696.786403095233
20200514,23574.531865360215
20200515,-124.02523170656059
20200518,47233.948153900215
20200519,-19799.602692050976
20200520,21288.76051352697
20200521,-6761.916980720591
20200522,148.8764111136552
20200526,29922.545356815448
20200527,29063.183873350034
20200528,-12361.819841350429
20200529,-2486.743295928929
20200601,8748.838253927184
20200602,9061.005429821089
20200603,24798.640760663897
20200604,-290.4010772856418
20200605,45038.34202901833
20200608,13933.631008743308
20200609,-16292.812145530712
20200610,-26725.820637138328
20200611,-89207.20103296288
20200612,19397.112636566162
20200615,6938.713861434953
20200616,20107.12183000194
20200617,-11902.785484313965
20200618,1240.088554683607
20200619,-9101.937813858036
20200622,4467.396088874899
20200623,7793.438573650317
20200624,-35116.936535381246
20200625,17212.269299541367
20200626,-35342.17922916403
20200629,15355.130039215088
20200630,13721.08044347004
20200701,-565.5539179649204
20200702,1944.940099708503
20200706,16391.233268043492
20200707,-18160.155569755705
20200708,7487.422550403746
20200709,-24295.098437805194
20200710,17855.156303861644
20200713,9981.377464080695
20200714,29445.50178527832
20200715,1222.5194272308145
20200716,2121.1506729125977
20200717,-4983.084526062012
20200720,-10736.633688209346
20200721,18935.847532852087
20200722,4870.730095695471
20200723,-11008.69099546806
20200724,-6022.999290466309
20200727,-4356.955399890896
20200728,-4467.374649047852
20200729,11548.544410705566
20200730,-10773.578575134277
20200731,-8479.735800582916
20200803,870.7941918296274
20200804,6386.683066612342
20200805,27836.98997963709
20200806,3817.6157966689207
20200807,8655.735148880165
20200810,8593.743137840182
20200811,-1175.1795742493123
20200812,13734.932954845484
20200813,-5571.968500339426
20200814,2364.9878701285925
20200817,-9586.801949016517
20200818,-7674.244477478089
20200819,-9741.274040222168
20200820,-5182.535579837859
20200821,453.414794921875
20200824,8589.874099134468
20200825,873.6997578467708
20200826,-5773.490429891506
20200827,10778.703962955391
20200828,10300.697623619111
20200831,-10364.951546554454
20200901,-3635.8696937561035
20200902,23880.925318342168
20200903,-17376.78012041468
20200904,-3754.3715976525564
20200908,-19108.652645111084
20200909,10813.108815883752
20200910,-18137.849645900773
20200911,2144.2926310196053
20200914,9598.645142631372
20200915,-5336.8695655975025
20200916,4455.538015365601
20200917,-6914.058639287949
20200918,816.6528055192903
20200921,-27471.063073751517
20200922,-4878.857236862183
20200923,-20866.890409469604
20200924,4070.884786605835
20200925,14942.665669624228
20200928,12646.351461048238
20200929,-8285.040508270264
20200930,13525.2847366333
20201001,-4543.859561920166
20201002,-182.4340118104592
20201005,17153.26393508911
20201006,-11079.513731025625
20201007,21813.848549346905
20201008,9191.607460021973
20201009,9822.729621122358
20201012,7746.129158226075
20201013,-7312.29951433558
20201014,-16167.988430023193
20201015,3843.49063873291
20201016,6380.541307449341
20201019,-18672.857688663527
20201020,11111.825254440308
20201021,5610.190416980768
20201022,13368.434603399131
20201023,4935.187570770271
20201026,-25821.92710876465
20201027,-10011.427017211914
20201028,-34276.14280319214
20201029,939.0625343322754
20201030,223.79951095581055
20201102,19304.861377716064
20201103,22266.569423675537
20201104,37993.74505996704
20201105,9925.003398895264
20201106,-8409.918804168701
20201109,54441.51832962036
20201110,20271.046089172363
20201111,-10278.075340270996
20201112,-7113.025394439697
20201113,14793.056747436523
20201116,20522.1866645813
20201117,-9853.553134918213
20201118,-21088.778324127197
20201119,-7794.228832244873
20201120,-5157.977294921875
20201123,12945.408012390137
20201124,19089.58930486301
20201125,-12747.207321166992
20201127,-52.379783630371094
20201130,-16142.224037992302
20201201,16645.635633232072
20201202,17214.26171047194
20201203,5087.581085205078
20201204,16401.566866188077
20201207,-14138.901941738091
20201208,5815.966537475586
20201209,-2831.8403549194336
20201210,-794.380409500096
20201211,12584.705841064453
20201214,-16165.78921508789
20201215,16839.524311065674
20201216,-5538.016690566903
20201217,7818.4594802856445
20201218,-3003.8991622924805
20201221,-10387.436080932617
20201222,-7963.143882751465
20201223,11193.611595153809
20201224,6463.702301025391
20201228,15195.835670471191
20201229,-837.2472305297852
20201230,4912.389371921541
20201231,10895.343105514534
20210104,-19855.69944804767
20210105,-3175.529969993746
20210106,24192.71540773008
20210107,5284.9652641031425
20210108,4972.417034345446
20210111,-9683.15657084831
20210112,-576.0252056121826
20210113,-210.73639678955078
20210114,-6085.671013681451
20210115,-8018.0246311340015
20210119,6344.700786590576
20210120,2835.920238494873
20210121,3782.721061706543
20210122,-13433.5990524292
20210125,2323.807487487793
20210126,-7886.281547546387
20210127,-32194.962776184082
20210128,19555.341163635254
20210129,-29616.35320663452
20210201,8617.701923007844
20210202,14773.086616516113
