datadate,account_value
20200707,1704970.266256716
20200708,1669887.1138368594
20200709,1637195.4321313845
20200710,1668867.0060983645
20200713,1651579.821894263
20200714,1680237.169134711
20200715,1707483.8729616152
20200716,1679271.8695016846
20200717,1660122.1197610842
20200720,1665731.9918695437
20200721,1694134.057894324
20200722,1697337.937014197
20200723,1669933.8291040407
20200724,1653635.0905595766
20200727,1662766.296652411
20200728,1645877.0861154543
20200729,1663894.5041032778
20200730,1630167.6636033999
20200731,1621552.9776178347
20200803,1657610.515253638
20200804,1658897.5123468386
20200805,1684945.1666551577
20200806,1691976.4521127688
20200807,1699674.760855292
20200810,1722845.4343896853
20200811,1725033.7482973083
20200812,1724534.0090623843
20200813,1706999.6618982302
20200814,1712114.6342493044
20200817,1686238.8587823855
20200818,1679961.3309389101
20200819,1672334.5804277407
20200820,1678586.3585687624
20200821,1666253.7610918032
20200824,1709438.7834154116
20200825,1701040.5620294558
20200826,1697936.3969903933
20200827,1732589.832377051
20200828,1752707.4438081728
20200831,1728644.1297365176
20200901,1733739.3325220095
20200902,1758829.2522150027
20200903,1714779.75628147
20200904,1717202.5931840884
20200908,1656918.1388956057
20200909,1677585.662756537
20200910,1644986.157105063
20200911,1648018.470884894
20200914,1678802.0485330569
20200915,1677377.0865903841
20200916,1680692.8632570254
20200917,1667194.7160631167
20200918,1641496.9346166598
20200921,1603514.3800836552
20200922,1610999.0204092013
20200923,1560711.3611513125
20200924,1560749.1698041903
20200925,1590528.2692018496
20200928,1626953.4508310305
20200929,1602854.4139257418
20200930,1627919.5113664614
20201001,1632918.965944861
20201002,1618339.6926179873
