datadate,account_value
20220707,924538.1543912491
20220708,942625.9754122756
20220711,930582.456875502
20220712,983398.1642256454
20220713,966033.5224127182
20220714,980922.011026358
20220715,988797.8857705711
20220718,987955.5247408774
20220719,1036343.3034917053
20220720,1049272.8341213288
20220721,1065682.2210918602
20220722,1049361.9861849234
20220725,1043231.023218653
20220726,1037719.3322945464
20220727,1040579.4901885742
20220728,1058102.18587583
20220729,1062467.2233876213
20220801,1113381.5164990143
20220802,1080286.47618199
20220803,1099696.3672181761
20220804,1097088.2021760428
20220805,1089837.1966177544
20220808,1094311.765238501
20220809,1089935.001214781
20220810,1115385.359005812
20220811,1109412.1990338233
20220812,1122120.2407718757
20220815,1124293.4785266747
20220816,1133411.8387248213
20220817,1106137.7247696593
20220818,1114556.099520285
20220819,1082615.1492693466
20220822,1057863.191071444
20220823,1064205.1770434098
20220824,1084148.833397116
20220825,1118200.7873858474
20220826,1086919.6290354484
20220829,1089910.334338816
20220830,1071489.279279406
20220831,1058329.5153475746
20220901,1023422.9311940864
20220902,1011718.9938790267
20220906,1013987.3478556809
20220907,1036535.8639464648
20220908,1048130.6086351093
20220909,1050632.0958468802
20220912,1060321.3420067544
20220913,990905.1093579239
20220914,1003267.1779032883
20220915,1005866.0314268555
20220916,974700.2125105347
20220919,979335.5176062073
20220920,982901.6577848877
20220921,964067.9623159851
20220922,936068.6459135498
20220923,893551.4828810181
20220926,869740.6630072083
20220927,870352.2060331788
20220928,905569.8221945252
20220929,858611.7284483397
20220930,832995.0209440673
20221003,864172.1020559752
20221004,910060.6706556763
