,0
0,1538337.25
1,1537856.4498760987
2,1537715.2691073453
3,1537715.2691073453
4,1537715.2691073453
5,1537715.2691073453
6,1537715.2691073453
7,1538192.9160035546
8,1538122.3011812433
9,1541388.639787776
10,1541234.2520184699
11,1541234.2520184699
12,1541234.2520184699
13,1541234.2520184699
14,1541234.2520184699
15,1541234.2520184699
16,1541234.2520184699
17,1541234.2520184699
18,1541234.2520184699
19,1541234.2520184699
20,1541234.2520184699
21,1541234.2520184699
22,1541234.2520184699
23,1541234.2520184699
24,1541234.2520184699
25,1541234.2520184699
26,1541234.2520184699
27,1541234.2520184699
28,1541234.2520184699
29,1541234.2520184699
30,1541234.2520184699
31,1541234.2520184699
32,1541234.2520184699
33,1541234.2520184699
34,1541234.2520184699
35,1541234.2520184699
36,1541234.2520184699
37,1541234.2520184699
38,1541234.2520184699
39,1541234.2520184699
40,1541234.2520184699
41,1541234.2520184699
42,1541234.2520184699
43,1541234.2520184699
44,1541234.2520184699
45,1541234.2520184699
46,1541234.2520184699
47,1541234.2520184699
48,1541234.2520184699
49,1541234.2520184699
50,1541234.2520184699
51,1541234.2520184699
52,1541234.2520184699
53,1541234.2520184699
54,1541234.2520184699
55,1541234.2520184699
56,1541234.2520184699
57,1541234.2520184699
58,1541234.2520184699
59,1541234.2520184699
60,1541234.2520184699
61,1541234.2520184699
62,1541234.2520184699
