datadate,account_value
20210105,1560343.9973194988
20210106,1640449.7145629223
20210107,1650623.3239932584
20210108,1661669.0481227597
20210111,1681191.6650257595
20210112,1709232.8417429456
20210113,1720555.187351615
20210114,1757257.0733648557
20210115,1713634.9707422266
20210119,1734710.6927238626
20210120,1749345.6636120996
20210121,1730273.7681384743
20210122,1699231.8962366723
20210125,1690837.993594819
20210126,1671837.9521048898
20210127,1642748.663892022
20210128,1663444.4404467705
20210129,1626598.7523577642
20210201,1632252.260287627
20210202,1658345.738284829
20210203,1686622.139624734
20210204,1721880.9943082056
20210205,1751567.7974058827
20210208,1800910.4923794926
20210209,1788217.374264203
20210210,1793566.8607429056
20210211,1772114.7780066174
20210212,1786012.773806426
20210216,1814534.80617274
20210217,1828194.5786470135
20210218,1816186.5224264306
20210219,1820248.1549207545
20210222,1865135.3166534815
20210223,1881554.0941242953
20210224,1923257.8796046763
20210225,1894910.3078312674
20210226,1849428.6817794638
20210301,1901934.5571292525
20210302,1894356.9000640325
20210303,1913653.2311458501
20210304,1930950.6569447145
20210305,1978815.144283105
20210308,1998896.2007256688
20210309,1973936.4987047643
20210310,2023144.9152509756
20210311,2011120.119506587
20210312,2026275.5577416106
20210315,2007245.345001788
20210316,1983176.700358081
20210317,1994722.4918571424
20210318,1962211.2273384219
20210319,1948200.1388681154
20210322,1938164.871876853
20210323,1922628.3136079854
20210324,1940773.8075894385
20210325,1954296.7347774077
20210326,1996985.1207461385
20210329,1989394.4235955344
20210330,1976681.7437474509
20210331,1952018.983403205
20210401,1978040.4560400306
20210405,1977286.3885135602
20210406,1969607.8918866892
