datadate,reward
20180104,0.0035225789304504963
20180105,0.004904517546340915
20180108,0.0046638441211915285
20180109,0.0012930647953083004
20180110,0.0003632684010924837
20180111,0.012362359349099423
20180112,0.011190735891672613
20180116,-0.0006925849493155853
20180117,0.00827054192790766
20180118,0.0020515019316819398
20180119,-0.0013662125832249444
20180122,0.005713533941386587
20180123,0.006921165733725728
20180124,0.0015833566113364155
20180125,-0.0013093081640353401
20180126,0.004167351403878348
20180129,-0.012893650656183791
20180130,-0.014260904685781612
20180131,-0.0013723025029096128
20180201,0.0013883029211210697
20180202,-0.03455597665659063
20180205,-0.05087032275950463
20180206,0.012942712825530145
20180207,-0.007161644468224995
20180208,-0.03538145306872739
20180209,0.006377423734351732
20180212,0.015449821287681369
20180213,0.003923921884455161
20180214,0.01596447902220797
20180215,0.011258664361946169
20180216,-0.0015848828817004099
20180220,-0.007366133127881555
20180221,-0.01038474191393412
20180222,0.0033509361403433486
20180223,0.020882654809643245
20180226,0.020244082039670194
20180227,-0.007698289545070524
20180228,-0.016934827320662434
20180301,-0.01506570561623439
20180302,-0.00457151517817768
20180305,0.01416341042949825
20180306,0.0034961697292957717
20180307,-0.0011210100843271381
20180308,-0.0026593962279940217
20180309,0.022478689058595038
20180312,0.003670797239916022
20180313,-0.00585362928776365
20180314,-0.010594457724651063
20180315,0.005453950337752046
20180316,0.005314631641070926
20180319,-0.014558517096817162
20180320,-0.0017625905771577602
20180321,0.008978577041885417
20180322,-0.03001387489690151
20180323,-0.02118169296504705
20180326,0.021430710555015352
20180327,-0.006061438915023437
20180328,-0.010383380585951518
20180329,0.01397296678671356
20180402,-0.016823902302984393
20180403,0.009892629328950478
20180404,0.010104115910401506
