datadate,reward
20170405,-0.0032374836389856706
20170406,0.007509372782271746
20170407,-0.000754565636584521
20170410,0.006861957412770387
20170411,-0.0006884855553679458
20170412,-0.010268106914567374
20170413,-0.01395224394401666
20170417,0.007374037090167249
20170418,-0.009520350400958819
20170419,-0.006973504169043199
20170420,0.013303010854107889
20170421,-0.0007542714253706553
20170424,0.018529323184969988
20170425,0.03865543705280125
20170426,0.007789513850365419
20170427,-0.005504079271419206
20170428,-0.006443404101976994
20170501,-0.0010118266986015357
20170502,-0.002344714755936777
20170503,0.0010706069189736166
20170504,-0.0037049378450245943
20170505,7.514029197099135e-05
20170508,-0.0009079545658719258
20170509,-0.0013264275109547206
20170510,0.004031997026032265
20170511,0.0003449839215963003
20170512,0.00042258411984009633
20170515,0.011585535109262845
20170516,0.004459532722521477
20170517,-0.016585048490268102
20170518,-0.002263580089935946
20170519,0.0078092081317425914
20170522,0.0024503424788279407
20170523,0.005600438036926912
20170524,0.0038556902074671252
20170525,0.004877064378368795
20170526,0.0011241247262231996
20170530,-0.004101397326818912
20170531,-0.0019813146381853605
20170601,0.009663660229630229
20170602,0.005178126461509695
20170605,0.0007527390961839717
20170606,-0.0030182513266450535
20170607,0.0039698117992744975
20170608,0.00446902556618944
20170609,0.010629258549914762
20170612,-0.0016308797528679377
20170613,0.0037704768867924173
20170614,0.004028895220149124
20170615,0.0021035440790570788
20170616,0.005121876340742996
20170619,0.0074642092506990495
20170620,0.003165482973612733
20170621,-0.0021537601067813344
20170622,0.002387192784659945
20170623,-0.0003216197930141657
20170626,0.0018643173973544294
20170627,0.00015590578441321658
20170628,0.006992635582197946
20170629,-0.0004326361237061199
20170630,0.0017091168691542665
20170703,0.00840743074279807
