datadate,account_value
20181003,1788344.5167752118
20181004,1795329.1751665121
20181005,1768902.4535538182
20181008,1769918.0541401142
20181009,1758063.3528138509
20181010,1689974.080686131
20181011,1658645.4105052762
20181012,1685078.6034856383
20181015,1668009.8472960705
20181016,1699000.6168833966
20181017,1684774.827581654
20181018,1637381.877470242
20181019,1626679.0232795605
20181022,1613590.812650685
20181023,1565156.560636418
20181024,1502119.9961002392
20181025,1537113.5146354719
20181026,1519022.111586491
20181029,1505586.530876637
20181030,1530118.2125641217
20181031,1570931.0702731595
20181101,1597728.3446481214
20181102,1568645.446556706
20181105,1564586.5571961903
20181106,1588000.128756928
20181107,1642526.554945023
20181108,1623258.9705169073
20181109,1584341.5779364782
20181112,1542343.9864558226
20181113,1543682.4000277563
20181114,1520156.5960648428
20181115,1567655.5924841887
20181116,1573740.27859977
20181119,1535584.1582717558
20181120,1486457.1733634572
20181121,1495361.399046826
20181123,1473966.6438992734
20181126,1503105.832225308
20181127,1504278.3171373068
20181128,1560889.2833653875
20181129,1552813.5265916907
20181130,1589154.9419023443
20181203,1625341.4014709021
20181204,1536154.6089168172
20181206,1527459.8214661642
20181207,1474776.710666657
20181210,1473639.8292426954
20181211,1469827.5607226987
20181212,1486229.145152287
20181213,1492530.9632767949
20181214,1480108.5731784673
20181217,1452563.2145776297
20181218,1453016.1203897025
20181219,1426740.001940335
20181220,1410078.954336453
20181221,1383722.2953580595
20181224,1346199.6952269103
20181226,1427823.211702252
20181227,1443451.0322108886
20181228,1435739.187637242
20181231,1451335.4942278601
20190102,1449803.9316485757
20190103,1388792.1517188193
