,0
0,-360.15756810689345
1,880.6672566825291
2,-2787.117989939754
3,-651.342900027521
4,-3237.751880418975
5,-3933.1508787213825
6,-1352.2387132765725
7,-8851.32169399201
8,375.4199270568788
9,2110.2723580916645
10,-27612.3512596949
11,28949.681551203714
12,-3568.9554820278427
13,2978.9433835094096
14,-2786.2108057481237
15,9733.654489555629
16,24211.1783094774
17,-26227.26541016344
18,-12312.786596218124
19,283.59395852009766
20,11516.497003432014
21,1162.328946697875
22,15830.003106453572
23,22028.52735029359
24,1790.3847370407311
25,-46234.099736770615
26,13777.152341035428
27,3519.1444355086423
28,-9382.205613106955
29,-54934.960185037926
30,-349.1702864021063
31,-8674.873308064765
32,-10523.356063834392
33,-46970.92776667874
34,51540.59848982748
35,-21579.686910113902
36,-11840.865521834465
37,-9191.452444551629
38,-39998.51109759102
39,-10041.873924899264
40,25307.117288511712
41,-42058.61936086265
42,-1376.6735669214977
43,-17343.11896715872
44,62220.38000390818
45,10578.227451882209
46,37017.37422492355
47,17797.90896104311
48,-13175.19870364631
49,30031.622162160813
50,23975.357887324993
51,-21493.716055913595
52,-21070.831854842603
53,74977.72792199836
54,-16080.39732752461
55,8497.3786555283
56,20481.85335037345
57,-24237.32648465573
58,-40940.53447162523
59,20674.399480172782
60,22441.217656226014
61,35488.183151217876
62,15503.455904440372
63,-5174.600325049716
64,-18076.81057682773
65,4091.4051927512046
66,45663.02682752197
67,9695.65926006576
68,-33436.278233851306
69,21000.115167969605
70,6760.65914794174
71,3889.7088155078236
72,-38678.92899224523
73,12224.82878712914
74,-4147.713984944276
75,11285.782257515937
76,22685.3695748318
77,-6988.465375029715
78,3820.515947425971
79,22622.804645253345
80,16777.290083019063
81,616.1732080022339
82,33243.81296911044
83,8107.157556636725
84,5880.328521566698
85,-4193.9834983896
86,37181.086681752
87,-27640.664488994982
88,-1801.3474738441873
89,-32162.02489502402
90,14589.281412628712
91,-6563.530827469192
92,39945.1215931559
93,-6146.747890279163
94,-909.6392405347433
95,-24121.254130117362
96,-6223.374690209283
97,26685.523912032135
98,-15965.266351590864
99,5792.847603099188
100,17411.6946405645
101,32237.186467445223
102,11412.593050539726
103,-12788.909185494063
104,10421.151177156484
105,1561.202375949826
106,-7422.473106042482
107,4924.610087011941
108,-8407.98038818501
109,-13125.06140675
110,2446.064584977459
111,-25815.91562575521
112,-12912.852947067237
113,-4629.8294802813325
114,10414.521085183602
115,-2110.243557941867
116,-35560.43834322877
117,-2389.490412639221
118,-3456.882361496566
119,28001.416626041057
120,-5370.07844336424
121,10859.173585544107
122,-13999.908047178062
123,7281.338964727707
124,-31054.47464711126
125,10213.405114978086
126,-23990.706786591094
127,878.5901327333413
128,436.1492186195683
129,50.788570842240006
130,24084.561020377325
131,3078.8886209297925
132,39711.36159127834
133,14040.306129772449
134,-2071.953820045339
135,30183.361204921734
136,28010.735683178296
137,-7120.871065389132
138,31134.36849784106
139,8387.4425805395
140,2242.418229540577
141,1856.6985691303853
142,-12583.88711730251
143,14268.94922781759
144,746.8582689610776
145,15128.522467701696
146,17031.427989911288
147,-3533.1070936357137
148,7916.7840096065775
149,16215.56774284388
150,-7873.062127215788
151,-11598.777598797344
152,14822.232713963604
153,-1619.2790299076587
154,-18339.90693098749
155,-31713.1644851882
156,16522.848322769394
157,9763.149427413475
158,12510.658228125423
159,27572.559431405272
160,3030.336710285628
161,2257.164990931051
162,-1866.3015497408342
163,6785.668259933358
164,-8458.976819759002
165,-17381.32547920919
166,-32424.136312855175
167,536.8115879863035
168,13894.266693871003
169,19474.04596622265
170,14951.258979653474
171,14972.091394915013
172,8657.394467487698
173,-3505.240390477469
174,4646.736870829249
175,25913.431126800366
176,26109.1004281824
177,4481.409285266185
178,-804.4890036745928
179,-20367.14615553012
180,14436.819474409102
181,-18765.056368158897
182,-8148.137768181739
183,-7297.268368311692
184,24858.79836350237
185,-6822.1853412389755
186,-5965.05463677994
187,-34451.64108861913
188,-8304.410391120473
189,24012.97311062878
190,18687.35257911333
191,2929.4485406130552
192,15910.09451320977
193,5342.774368885206
194,-746.826117398683
195,-2736.476035327185
196,26874.87596041127
197,10826.527749594534
198,-1127.254149244167
199,32776.53589794575
200,2130.015370744746
201,-16152.660057956586
202,24625.808886755025
203,-29616.848667499376
204,-7786.823138088686
205,9063.040694077266
206,-32147.179181913845
207,39466.201721942285
208,-43926.47170125134
209,14886.219572274713
210,6271.6582063427195
211,1723.5962764625438
212,40249.218013505684
213,-4853.16489117383
214,40589.668850538554
215,1214.3110195277259
216,8565.48206665786
217,-20809.420612336835
218,17236.744405650534
219,34178.294059211854
220,-4650.483647549525
221,-1387.858500040369
222,-14710.387192020658
223,-3121.658749360591
224,14782.635168376844
225,-1295.7425179062411
226,14172.22842522338
227,-31836.96144535253
228,12647.265135304071
229,16010.827361142961
230,-12394.019619102823
231,-28258.181279501878
232,1005.9540901710279
233,-2882.5073883824516
234,-21399.94946655212
235,4050.1629207236692
236,9477.426849618321
237,14171.20580465789
238,989.7357861537021
239,-5998.50065916311
240,-489.39395934250206
241,-19023.612415736774
242,-2375.5453938643914
243,12307.98238980025
244,7952.64413264906
245,2887.821833699476
246,6189.513245046372
247,-136.12391683761962
248,-3647.10582468356
249,-5880.443741889903
250,-17586.755590707064
251,23417.844785551308
252,4479.63841744978
253,6327.149795094272
254,8944.201112514129
255,712.635355793871
256,32998.95059894677
257,-9916.363915121416
258,1523.9701477228664
259,1918.720592721831
260,-23498.66155204829
261,17279.76215042523
262,-18880.320857416606
263,-36841.410074723884
264,-48789.55458692857
265,-796.8436914796475
266,10909.469592816895
267,-11188.086846546968
268,-27502.316806993913
269,-1853.708814050071
270,25377.150762276957
271,16399.74788846122
272,-2576.173140000319
273,-39923.79686000012
274,191.46296250005253
275,-20836.789064999903
276,37609.50859500002
277,-5107.988937499933
278,33317.67756486335
279,-2573.651002100203
280,27139.36553000007
281,-621.2098699999042
282,7041.435850000009
283,3702.394414999755
284,-4862.408626437653
285,-21399.5668912963
286,11580.574260324007
287,-15580.282678190619
288,-991.6113584672567
289,9651.544550057268
290,5449.672185027972
