,0
245,1524964.3488054567
246,1527852.1706391561
247,1534041.6838842025
248,1533905.5599673649
249,1530258.4541426813
250,1524378.0104007914
251,1506791.2548100844
252,1530209.0995956357
253,1534688.7380130854
254,1541015.8878081797
255,1549960.0889206938
256,1550672.7242764877
257,1583671.6748754345
258,1573755.310960313
259,1575279.281108036
260,1577198.0017007578
261,1553699.3401487095
262,1570979.1022991347
263,1552098.781441718
264,1515257.3713669942
265,1466467.8167800657
266,1465670.973088586
267,1476580.442681403
268,1465392.355834856
269,1437890.039027862
270,1436036.330213812
271,1461413.480976089
272,1477813.2288645501
273,1475237.0557245498
274,1435313.2588645497
275,1435504.7218270497
276,1414667.9327620498
277,1452277.4413570499
278,1447169.45241955
279,1480487.1299844133
280,1477913.478982313
281,1505052.8445123131
282,1504431.6346423132
283,1511473.0704923132
284,1515175.464907313
285,1510313.0562808753
286,1488913.489389579
287,1500494.063649903
288,1484913.7809717124
289,1483922.1696132452
290,1493573.7141633024
291,1499023.3863483304
292,1500128.3320234409
293,1505120.3626890213
294,1528756.188389021
295,1529238.737279021
296,1532001.577279021
297,1531699.342439021
298,1535655.0447861636
299,1550837.310753307
300,1544337.9942033067
301,1547316.4591533067
302,1559176.096416115
303,1558619.4677342249
304,1549736.3836470512
305,1562546.7688863762
306,1585764.1960058329
307,1575337.9553898743
308,1579228.9373775928
309,1581789.3581840731
310,1595188.954442131
311,1591213.458785772
312,1585285.21115034
313,1605296.6760920053
314,1623565.2731785355
315,1625720.467968918
316,1609922.761507748
317,1628141.3156577484
318,1640603.104997748
319,1655288.059548858
320,1656935.5277085218
321,1678848.7376299622
322,1683095.7995502504
323,1659846.042968378
324,1672807.5229939301
325,1683625.552557946
326,1684659.174447826
327,1692165.1660677542
328,1713671.0277398662
329,1725950.7710075728
330,1683345.2721921524
331,1692782.527859451
332,1722713.2307494418
333,1681895.2080185509
334,1709836.545579082
335,1663902.9164121826
336,1646679.2686213725
337,1593030.6855323154
338,1559930.650493315
339,1637697.4062484442
340,1630253.8159213227
341,1655590.971210255
342,1633720.1382727255
343,1591238.1059655033
344,1589379.5656659247
345,1570330.343334588
346,1554628.126342212
347,1498999.7022085486
348,1522801.4680760733
349,1505585.7241268656
350,1502653.2683227072
351,1486751.9489161724
352,1539399.3799892417
353,1520020.6160889445
354,1494964.4038483507
355,1537746.8891480532
356,1540766.2338233013
357,1480909.1166188456
358,1459814.0435055888
359,1490935.031385516
360,1483535.5616500992
361,1538383.0552513637
362,1541082.9599989878
363,1540870.767730648
364,1585068.3376786099
365,1597493.5834125339
366,1598336.8079244688
367,1605679.2850036798
368,1612360.882828548
369,1579733.7343961715
370,1579198.221984208
371,1552040.3418779073
372,1566449.7177881596
373,1557835.4225793567
374,1503213.3879173044
375,1489201.7876721842
376,1489418.8598320421
377,1479439.7755657875
378,1486389.1739124837
379,1533156.0733990048
380,1562243.0344751887
381,1579099.3298797612
382,1582888.8903484046
383,1620458.6759832043
384,1616118.4726247701
385,1615064.948040729
386,1563776.7712384788
387,1573272.729455198
388,1598808.2266733572
389,1587548.3112909358
390,1626745.672582799
391,1642359.754942835
392,1661831.3830150417
393,1647397.9073476612
394,1647502.1449135833
395,1640682.088880342
396,1643492.7884384196
397,1670127.7614192702
398,1664633.3583327136
399,1667359.5377735593
400,1664393.6531613094
401,1669678.1208373625
402,1685724.4221556387
403,1681253.1741005802
404,1636250.8075708412
405,1622926.4607396713
406,1620737.4044607242
407,1621735.4387858415
408,1645871.4219477132
