datadate,account_value
20200707,1510162.7522573338
20200708,1494965.2266761418
20200709,1474516.0285383665
20200710,1494181.6518430389
20200713,1480189.0936339933
20200714,1503205.7514226285
20200715,1514896.6334396575
20200716,1497797.0954957562
20200717,1493540.3390172026
20200720,1505240.076088568
20200721,1527341.6966388
20200722,1542518.4789574721
20200723,1516358.7124441816
20200724,1506497.2112149794
20200727,1519011.7068447515
20200728,1505609.180616358
20200729,1519563.1340244582
20200730,1495288.6650035307
20200731,1485723.9742346099
20200803,1516203.0738661443
20200804,1519742.42685763
20200805,1528866.3226029265
20200806,1541023.9059851668
20200807,1531882.3223206922
20200810,1538334.2291126691
20200811,1527596.535167662
20200812,1552225.464412596
20200813,1541827.3957169477
20200814,1544586.841636309
20200817,1550908.5697622169
20200818,1543936.0005101415
20200819,1530236.7417458748
20200820,1534214.812996462
20200821,1531276.8865928825
20200824,1551042.402217806
20200825,1547606.1543606054
20200826,1552983.818458399
20200827,1565531.5804260925
20200828,1583678.0317217086
20200831,1560599.9882246496
20200901,1557912.8905707342
20200902,1576368.3769847243
20200903,1522568.5777069419
20200904,1508818.1788712179
20200908,1455794.2737978767
20200909,1488411.5210579208
20200910,1454353.106977816
20200911,1451167.1521794952
20200914,1457914.440688654
20200915,1462732.6301089728
20200916,1469532.6297071096
20200917,1464015.3384126304
20200918,1447721.9484852622
20200921,1433487.4359172347
20200922,1438980.5213626388
20200923,1391170.8288765643
20200924,1396236.8697716868
20200925,1414243.3084510004
20200928,1436464.356658871
20200929,1413854.5548102458
20200930,1427236.6018365424
20201001,1418638.2018693488
20201002,1404664.92161117
