,0
0,1493943.375
1,1494355.4539112095
2,1494213.5602901464
3,1494213.5602901464
4,1494213.5602901464
5,1494213.5602901464
6,1494213.5602901464
7,1495205.3378255852
8,1495895.1856548316
9,1497254.9931066523
10,1496818.849991799
11,1496818.849991799
12,1496818.849991799
13,1496818.849991799
14,1496818.849991799
15,1496818.849991799
16,1496818.849991799
17,1496818.849991799
18,1496818.849991799
19,1496818.849991799
20,1496818.849991799
21,1496818.849991799
22,1496818.849991799
23,1496818.849991799
24,1496818.849991799
25,1496818.849991799
26,1496818.849991799
27,1496818.849991799
28,1496818.849991799
29,1496818.849991799
30,1496818.849991799
31,1496818.849991799
32,1496818.849991799
33,1496818.849991799
34,1496818.849991799
35,1496818.849991799
36,1496818.849991799
37,1496818.849991799
38,1496818.849991799
39,1496818.849991799
40,1496818.849991799
41,1496818.849991799
42,1496818.849991799
43,1496818.849991799
44,1496818.849991799
45,1496818.849991799
46,1497768.5009906776
47,1497833.01377945
48,1497530.1859649662
49,1497530.1859649662
50,1497530.1859649662
51,1497530.1859649662
52,1498813.6063665394
53,1498660.7072399142
54,1498660.7072399142
55,1498660.7072399142
56,1498660.7072399142
57,1498660.7072399142
58,1498660.7072399142
59,1499862.2722957619
60,1497607.7775373466
61,1497301.9108705525
62,1497301.9108705525
