,0
0,1502972.985961914
1,1502378.9746616664
2,1503355.353584331
3,1509782.8257584032
4,1508848.8574967529
5,1508848.8574967529
6,1508848.8574967529
7,1508848.8574967529
8,1508927.0441571379
9,1508869.156483951
10,1508195.322274509
11,1512921.316743961
12,1512029.3068226965
13,1512029.3068226965
14,1512029.3068226965
15,1512029.3068226965
16,1512029.3068226965
17,1512029.3068226965
18,1512029.3068226965
19,1512029.3068226965
20,1512029.3068226965
21,1514752.0654046207
22,1513612.40520145
23,1513186.6646252777
24,1513186.6646252777
25,1513186.6646252777
26,1513186.6646252777
27,1513186.6646252777
28,1513186.6646252777
29,1513186.6646252777
30,1513186.6646252777
31,1513186.6646252777
32,1513186.6646252777
33,1513186.6646252777
34,1513186.6646252777
35,1513186.6646252777
36,1513186.6646252777
37,1513186.6646252777
38,1513186.6646252777
39,1513186.6646252777
40,1513186.6646252777
41,1513186.6646252777
42,1513186.6646252777
43,1513186.6646252777
44,1513186.6646252777
45,1513186.6646252777
46,1513186.6646252777
47,1513186.6646252777
48,1513186.6646252777
49,1513186.6646252777
50,1513186.6646252777
51,1513186.6646252777
52,1513186.6646252777
53,1513186.6646252777
54,1513186.6646252777
55,1513186.6646252777
56,1513186.6646252777
57,1513186.6646252777
58,1513186.6646252777
59,1513186.6646252777
60,1513186.6646252777
61,1513186.6646252777
62,1513186.6646252777
