,0
0,1348.0035171927884
1,4096.919648372335
2,-1204.8402870104183
3,-887.0570044231135
4,2613.5695894202217
5,334.3854395104572
6,1044.3770471878815
7,1933.676161422627
8,624.2885027849115
9,-27.43870720686391
10,9870.365934646688
11,89.44294460280798
12,3477.5923364202026
13,-6844.688423965592
14,5206.000467163278
15,-4283.692937076557
16,1105.2837462120224
17,1368.6836730039213
18,-213.3974750174675
19,-1020.0890867710114
20,3735.930626123445
21,2335.771288417978
22,-1848.52020824817
23,1341.5246153678745
24,2861.6235715369694
25,-60.00161974132061
26,-2983.19396175188
27,-1155.527169769397
28,2773.354639776284
29,-1349.3475618667435
30,-8922.93324164953
31,10014.728536851937
32,-6745.083062727004
33,4201.932443752186
34,7884.151439163368
35,-3284.683050857624
36,-273.8240506898146
37,1021.6240038911346
38,16763.077776555903
39,5520.342642738484
40,20060.5269365767
41,3873.128601417644
42,4658.786848484073
43,-6472.352496570675
44,-5714.536311603617
45,5637.532484045252
46,7668.0969481256325
47,1360.2907088166103
48,8940.252279922599
49,4859.102980384836
50,-5656.587484443793
51,10395.480125762988
52,10860.89919628133
53,-5356.299497093074
54,604.2868816757109
55,13876.135382396635
56,-548.1067527027335
57,1724.8528202685993
58,-1384.7915247115307
59,2650.5908963088877
60,-6181.060094558634
61,1153.2153437423985
