,0
0,1296888.1182403564
1,1299878.1438618125
2,1303975.0635101849
3,1302770.2232231745
4,1301883.1662187513
5,1304496.7358081716
6,1304831.121247682
7,1305875.49829487
8,1307809.1744562925
9,1308433.4629590774
10,1308406.0242518706
11,1318276.3901865173
12,1318365.83313112
13,1321843.4254675403
14,1314998.7370435747
15,1320204.737510738
16,1315921.0445736614
17,1317026.3283198734
18,1318395.0119928773
19,1318181.6145178599
20,1317161.5254310889
21,1320897.4560572123
22,1323233.2273456303
23,1321384.7071373821
24,1322726.23175275
25,1325587.855324287
26,1325527.8537045456
27,1322544.6597427938
28,1321389.1325730244
29,1324162.4872128007
30,1322813.139650934
31,1313890.2064092844
32,1323904.9349461363
33,1317159.8518834093
34,1321361.7843271615
35,1329245.9357663249
36,1325961.2527154672
37,1325687.4286647774
38,1326709.0526686686
39,1343472.1304452245
40,1348992.473087963
41,1369053.0000245397
42,1372926.1286259573
43,1377584.9154744414
44,1371112.5629778707
45,1365398.026666267
46,1371035.5591503123
47,1378703.656098438
48,1380063.9468072546
49,1389004.1990871772
50,1393863.302067562
51,1388206.7145831182
52,1398602.1947088812
53,1409463.0939051625
54,1404106.7944080695
55,1404711.0812897452
56,1418587.2166721418
57,1418039.109919439
58,1419763.9627397077
59,1418379.1712149961
60,1421029.762111305
61,1414848.7020167464
62,1416001.9173604888
