datadate,reward
20230410,10754.310685504694
20230411,13124.574816608801
20230412,-1836.9188569397666
20230413,17212.272135971114
20230414,-6445.104925815482
20230417,11577.63330517197
20230418,15408.913032821845
20230419,7753.422169814818
20230420,-12684.292343261652
20230421,8406.522034057882
20230424,12120.569135494065
20230425,-28974.827321868856
20230426,-31472.90347884735
20230427,35865.51632863609
20230428,24047.264807926025
20230501,-10173.48887956608
20230502,-32354.669214161113
20230503,-15422.338312854525
20230504,-30247.94278023159
20230505,36966.66859433381
20230508,-3987.087041473482
20230509,-681.6589984972961
20230510,-9677.693597964942
20230511,-13143.795616191812
20230512,1052.065203691367
20230515,-320.753587173298
20230516,-34149.08619349683
20230517,30051.82084501628
20230518,14531.260621639434
20230519,-12641.137659500353
20230522,-21579.819545139093
20230523,-6068.670125591103
20230524,-16673.897675026208
20230525,-20889.479411502834
20230526,11321.756332840072
20230530,-7979.531234264374
20230531,-26596.763399933
20230601,23082.729621570557
20230602,52920.53948784643
20230605,-19527.307812923566
20230606,14188.420936073642
20230607,25344.03847205732
20230608,1845.3894088058732
20230609,-6064.347084243782
20230612,8818.342370830476
20230613,5224.97954777116
20230614,-3573.1505497624166
20230615,20693.888071319554
20230616,-2096.82343471935
20230620,-21068.52413462801
20230621,4981.478682845831
20230622,-4735.17784381099
20230623,-9932.627608373761
20230626,16843.700772138778
20230627,18393.609519741032
20230628,-16401.948985412717
20230629,18527.506345203612
20230630,15256.370551380329
20230703,-205.76105508068576
20230705,-9084.721622104757
20230706,-36127.69112394331
20230707,-4964.928716716822
