datadate,reward
20210106,2975.881383220898
20210107,-166.30324417888187
20210108,0.0
20210111,0.0
20210112,0.0
20210113,0.0
20210114,0.0
20210115,0.0
20210119,0.0
20210120,0.0
20210121,0.0
20210122,0.0
20210125,0.0
20210126,0.0
20210127,0.0
20210128,0.0
20210129,0.0
20210201,0.0
20210202,0.0
20210203,185.9988373988308
20210204,-165.24384669098072
20210205,0.0
20210208,0.0
20210209,0.0
20210210,0.0
20210211,0.0
20210212,0.0
20210216,0.0
20210217,0.0
20210218,0.0
20210219,0.0
20210222,0.0
20210223,0.0
20210224,0.0
20210225,0.0
20210226,0.0
20210301,0.0
20210302,0.0
20210303,0.0
20210304,0.0
20210305,0.0
20210308,0.0
20210309,0.0
20210310,0.0
20210311,905.365585742984
20210312,6030.517803829163
20210315,1782.197337513091
20210316,-6696.304116813699
20210317,9466.547151928069
20210318,-5618.889088150114
20210319,-9645.191392124165
20210322,-1214.5086136814207
20210323,0.0
20210324,110.95362127711996
20210325,-178.75510573969223
20210326,0.0
20210329,0.0
20210330,0.0
20210331,0.0
20210401,0.0
20210405,0.0
20210406,0.0
